# uniform1 uniform2 gaussian1 gaussian2
  0.431168 0.224763 0.634339 1.410746
  0.279910 0.972759 -0.763303 -0.577829
  0.585325 0.123352 -0.461713 -1.648446
  0.534521 0.230696 -1.878346 0.702489
  0.879269 0.188982 0.769176 0.549725
  0.319790 0.198852 0.418861 -2.628435
  0.362320 0.147887 -0.317700 -0.654792
  0.624405 0.085667 1.402984 1.082908
  0.826297 0.080055 -0.361950 -0.568992
  0.401765 0.137795 -1.386361 -0.022417
  0.012929 0.022166 -0.747110 -0.163377
  0.761460 0.419302 -0.017674 1.405596
  0.137385 0.759408 -0.671729 -0.323794
  0.245519 0.181982 0.189058 0.715913
  0.676194 0.051626 -0.339657 -0.154234
  0.824917 0.889263 1.156507 -2.139944
  0.225440 0.838530 -0.862295 -0.284989
  0.174433 0.273832 0.179541 0.674412
  0.183931 0.713167 1.979117 -0.425109
  0.629684 0.276584 -1.845542 2.106373
  0.108120 0.359053 2.969204 1.214405
  0.230881 0.342059 0.876720 0.115340
  0.221857 0.097577 1.523316 -0.409559
  0.508131 0.750551 -1.979129 -0.796630
  0.424812 0.848493 -0.214786 1.103581
  0.444221 0.113358 -0.418604 -1.594621
  0.576895 0.219846 1.330452 0.208320
  0.945577 0.774418 0.174849 -0.921480
  0.736838 0.665738 -0.460652 1.342916
  0.809871 0.681252 -2.088355 1.860191
  0.396555 0.540995 2.393211 -0.490630
  0.847860 0.706494 -0.433988 1.166685
  0.781920 0.451202 0.620923 -0.218479
  0.793017 0.062427 0.887455 0.362471
  0.543362 0.260757 0.762691 0.061106
  0.507657 0.073915 -0.626318 -0.230398
  0.383883 0.743814 1.245948 -1.303206
  0.619609 0.331645 -0.006000 -0.664681
  0.708275 0.274682 0.609373 1.662971
  0.754551 0.087317 0.709825 -1.060978
  0.220732 0.913423 -0.671533 0.322597
  0.582658 0.457489 -0.743964 0.147445
  0.795621 0.750876 -1.451697 0.915048
  0.745524 0.709449 0.437832 1.632315
  0.345747 0.296411 0.499485 -0.502702
  0.170431 0.110422 1.317622 -0.135401
  0.889894 0.818882 -0.436978 0.500905
  0.460574 0.385396 -0.990297 0.483252
  0.478916 0.036568 -0.977997 -0.680359
  0.920745 0.330782 0.516707 -0.549175
  0.837261 0.480958 -0.496579 -0.944573
  0.543170 0.460372 -0.288311 1.153594
  0.679722 0.553714 0.155155 -1.069764
  0.103347 0.539343 1.439584 1.026712
  0.571940 0.709519 0.130998 -1.896991
  0.748075 0.563298 -0.432341 0.239857
  0.743813 0.456155 0.934770 -2.200816
  0.932387 0.658209 0.477759 -0.105595
  0.310656 0.283092 -1.488141 0.910894
  0.897263 0.809809 0.782762 1.326266
  0.616244 0.055760 -1.172065 0.320008
  0.269397 0.802795 0.995782 1.805465
  0.279828 0.751974 1.866033 -1.250766
  0.346841 0.471509 0.215288 0.197169
  0.688977 0.919862 -1.609625 -0.062351
  0.504517 0.905509 -0.638407 -1.526422
  0.798478 0.009126 -1.582610 1.206302
  0.083727 0.900105 -0.624013 1.253403
  0.222853 0.641030 2.445512 -0.182560
  0.950909 0.712921 -0.360643 -0.158386
  0.811141 0.759472 -0.581260 0.538589
  0.579128 0.367322 0.160603 -1.123610
  0.356366 0.191353 -0.799885 0.844041
